ID,Age,Employment,Education,Marital,Occupation,Income,Gender,Deductions,Hours,IGNORE_Accounts,RISK_Adjustment,TARGET_Adjusted,Time,Amount,Class
1004641,38,Private,College,Unmarried,Service,81838,Female,0,72,UnitedStates,0,0,406,0,1
1010229,35,Private,Associate,Absent,Transport,72099,Male,0,30,Jamaica,0,0,472,529,1
1024587,32,Private,HSgrad,Divorced,Clerical,154676.74,Male,0,40,UnitedStates,0,0,4462,239.93,1
1038288,45,Private,Bachelor,Married,Repair,27743.82,Male,0,55,UnitedStates,7298,1,6986,59,1
1044221,60,Private,College,Married,Executive,7568.23,Male,0,40,UnitedStates,15024,1,7519,1,1
1047095,74,Private,HSgrad,Married,Service,33144.4,Male,0,30,UnitedStates,0,0,7526,1,1
1047698,43,Private,Bachelor,Married,Executive,43391.17,Male,0,50,UnitedStates,22418,1,7535,1,1
1053888,35,Private,Yr12,Married,Machinist,59906.65,Male,0,40,UnitedStates,0,0,7543,1,1
1061323,25,Private,Associate,Divorced,Clerical,126888.91,Female,0,40,UnitedStates,0,0,7551,1,1
1062363,22,Private,HSgrad,Absent,Sales,52466.49,Female,0,37,UnitedStates,0,0,7610,1,1
1068642,48,Private,College,Divorced,Service,291416.11,Female,0,35,UnitedStates,0,0,7672,1,1
1071615,60,Private,Vocational,Widowed,Clerical,24155.31,Male,0,40,UnitedStates,0,0,7740,1,1
1071878,21,Private,College,Absent,Service,143254.86,Female,0,35,UnitedStates,0,0,7891,1,1
1077831,21,Private,College,Absent,Machinist,120554.81,Male,0,40,UnitedStates,0,0,8090,1,1
1084870,50,Private,Master,Married,Executive,34919.16,Male,0,40,Philippines,7298,1,8169,1,1
1085176,37,Private,HSgrad,Divorced,Executive,67176.79,Male,0,35,UnitedStates,0,0,8408,1,1
1093662,30,Consultant,HSgrad,Divorced,Repair,9608.48,Male,0,40,UnitedStates,0,0,8415,1,1
1094029,32,Private,HSgrad,Married,Machinist,12475.84,Male,0,40,UnitedStates,0,0,8451,1,1
1099084,65,SelfEmp,College,Married,Sales,32963.39,Male,0,40,UnitedStates,0,0,8528,1,1
1099829,28,Private,College,Married,Executive,31534.97,Male,0,55,UnitedStates,0,0,8614,1,1
1110947,40,PSLocal,Vocational,Divorced,Executive,182165.08,Female,0,40,UnitedStates,0,0,8757,1,1
1113899,41,PSState,Bachelor,Divorced,Executive,70603.7,Male,0,40,UnitedStates,0,0,8808,1.1,1
1126025,30,Private,HSgrad,Absent,Service,88125.97,Male,0,30,UnitedStates,0,0,8878,1,1
1129687,38,Private,HSgrad,Married,Repair,8670.9,Male,0,40,UnitedStates,0,0,8886,1,1
1133761,23,Private,Yr11,Unmarried,Professional,260405.44,Male,0,35,UnitedStates,0,0,9064,1809.68,1
1135666,42,PSState,College,Absent,Executive,66139.36,Female,0,40,UnitedStates,0,0,11080,1,1
1139749,26,Private,Bachelor,Absent,Sales,73751.48,Female,0,40,UnitedStates,0,0,11092,1,1
1141887,32,Consultant,HSgrad,Married,Sales,1428.27,Male,0,60,UnitedStates,28235,1,11131,1,1
1142177,49,PSFederal,College,Married,Support,15345.33,Male,0,40,UnitedStates,0,1,11629,1,1
1142367,26,Private,HSgrad,Married,Repair,48114.39,Male,0,40,Mexico,0,0,11635,1,1
1142837,28,Private,Yr10,Married,Machinist,33493.89,Male,0,40,UnitedStates,0,0,12093,0,1
1145025,41,PSFederal,Bachelor,Married,Support,54653.36,Male,0,24,UnitedStates,0,0,12095,30.39,1
1146358,46,Private,HSgrad,Absent,Service,229077.27,Female,0,24,UnitedStates,0,0,12393,179.66,1
1147562,42,Private,College,Absent,Machinist,59201.06,Female,0,40,UnitedStates,0,0,12597,1,1
1151685,39,Private,College,Divorced,Clerical,31036.73,Female,0,40,UnitedStates,0,0,13126,1,1
1153241,50,Private,Yr11,Absent,Machinist,187250.07,Female,0,40,UnitedStates,0,0,13323,1,1
1155672,47,PSLocal,Doctorate,Absent,Professional,161837.75,Female,0,40,UnitedStates,0,0,14073,1,1
1157546,24,Private,Associate,Unmarried,Repair,193135.59,Male,0,40,UnitedStates,8614,1,14152,1,1
